created_at,entry_id,field1,field2,field3,field4,field5,latitude,longitude,elevation,status
2019-11-20 10:07:12 +08,1,28.70,85.70,2.54,16,"80

",,,,
2019-11-20 10:08:16 +08,2,28.70,85.80,2.44,21,"100

",,,,
2019-11-20 10:09:18 +08,3,28.70,85.70,2.35,21,"100

",,,,
2019-11-20 10:10:20 +08,4,28.70,85.60,2.35,21,"100

",,,,
2019-11-20 10:11:21 +08,5,28.70,85.40,2.35,21,"100

",,,,
2019-11-20 10:14:25 +08,6,28.80,84.90,2.35,21,"100

",,,,
2019-11-20 10:18:30 +08,7,28.80,84.30,2.35,21,"100

",,,,
2019-11-20 10:19:31 +08,8,28.80,84.20,2.35,21,"100

",,,,
2019-11-20 10:20:32 +08,9,28.80,84.20,3.03,21,"100

",,,,
2019-11-20 10:21:34 +08,10,28.80,84.10,2.35,21,"100

",,,,
2019-11-20 10:22:35 +08,11,28.80,83.70,2.35,21,"100

",,,,
2019-11-20 10:25:39 +08,12,28.70,83.60,2.35,3,"10

",,,,
2019-11-20 10:26:40 +08,13,28.70,83.70,2.35,3,"10

",,,,
2019-11-20 10:27:41 +08,14,28.60,83.60,2.35,3,"10

",,,,
2019-11-20 10:28:43 +08,15,28.60,83.60,2.35,3,"10

",,,,
2019-11-20 10:30:45 +08,16,28.60,83.80,2.35,2,"10

",,,,
2019-11-20 10:31:46 +08,17,28.60,83.90,2.35,2,"10

",,,,
2019-11-20 10:32:48 +08,18,28.60,84.10,2.35,2,"10

",,,,
2019-11-20 10:34:50 +08,19,28.50,84.20,2.35,2,"10

",,,,
2019-11-20 10:35:51 +08,20,28.50,84.50,2.35,3,"10

",,,,
2019-11-20 10:36:53 +08,21,28.60,84.70,2.35,3,"10

",,,,
2019-11-20 10:38:55 +08,22,28.60,84.60,2.44,3,"10

",,,,
2019-11-20 10:39:57 +08,23,28.60,84.90,2.35,3,"10

",,,,
2019-11-20 10:40:58 +08,24,28.60,84.60,2.35,2,"10

",,,,
2019-11-20 10:43:00 +08,25,28.60,83.90,2.35,3,"10

",,,,
2019-11-20 10:44:05 +08,26,28.60,84.10,2.35,2,"10

",,,,
2019-11-20 10:45:06 +08,27,28.60,84.00,2.35,2,"10

",,,,
2019-11-20 10:46:07 +08,28,28.60,83.00,2.35,2,"10

",,,,
2019-11-20 10:49:11 +08,29,28.60,81.70,2.35,7,"30

",,,,
2019-11-20 10:50:12 +08,30,28.60,81.70,2.35,7,"30

",,,,
2019-11-20 10:52:15 +08,31,28.60,81.70,2.35,7,"30

",,,,
2019-11-20 10:53:16 +08,32,28.60,81.70,2.35,7,"30

",,,,
2019-11-20 10:56:20 +08,33,28.60,82.10,2.35,7,"30

",,,,
2019-11-20 10:57:21 +08,34,28.50,82.30,2.35,7,"30

",,,,
2019-11-20 10:58:22 +08,35,28.60,82.70,2.35,7,"30

",,,,
2019-11-20 10:59:24 +08,36,28.60,82.60,2.93,7,"30

",,,,
2019-11-20 11:00:25 +08,37,28.60,82.10,2.35,7,"30

",,,,
2019-11-20 11:01:26 +08,38,28.50,81.70,2.35,7,"30

",,,,
2019-11-20 11:03:29 +08,39,28.50,82.30,2.35,7,"30

",,,,
2019-11-20 11:05:32 +08,40,28.60,82.30,2.44,7,"30

",,,,
2019-11-20 11:07:34 +08,41,28.60,81.70,2.35,7,"30

",,,,
2019-11-20 11:09:37 +08,42,28.60,82.00,2.35,7,"30

",,,,
2019-11-20 11:10:38 +08,43,28.60,82.10,2.35,7,"30

",,,,
2019-11-20 11:11:39 +08,44,28.70,82.20,2.35,6,"30

",,,,
2019-11-20 11:12:41 +08,45,28.60,82.30,3.03,7,"30

",,,,
2019-11-20 11:13:42 +08,46,28.70,82.50,2.44,7,"30

",,,,
2019-11-20 11:15:45 +08,47,28.70,82.50,2.35,6,"30

",,,,
2019-11-20 11:16:46 +08,48,28.70,82.60,2.35,10,"50

",,,,
2019-11-20 11:17:50 +08,49,28.80,82.50,2.35,10,"50

",,,,
2019-11-20 11:18:51 +08,50,28.80,82.40,2.35,10,"50

",,,,
2019-11-20 11:19:53 +08,51,28.80,82.20,2.35,10,"50

",,,,
